date,monthly_active_users,new_signups,churned_users,monthly_revenue,conversion_rate,avg_session_duration
2024-01-01,12500,1850,420,125000,3.2,8.5
2024-02-01,13850,2100,380,138500,3.5,9.1
2024-03-01,15420,2350,450,154200,3.8,9.3
2024-04-01,17180,2480,520,171800,4.1,9.8
2024-05-01,18950,2650,490,189500,4.3,10.2
2024-06-01,20880,2800,530,208800,4.5,10.5
2024-07-01,22950,3100,580,229500,4.7,10.8
2024-08-01,25280,3350,620,252800,4.9,11.1
2024-09-01,27820,3600,660,278200,5.1,11.4
2024-10-01,30550,3850,710,305500,5.3,11.7
2024-11-01,33480,4100,780,334800,5.5,12.0
2024-12-01,36590,4350,820,365900,5.7,12.3
2025-01-01,39920,4600,870,399200,5.9,12.5
